Ind	Poids	Pression	Hues	Huefond	Lchair	ethylene	IR	AT	Glucose	Fructose	Malique
GoMo-A062	0.0675804093513029	60.5486250000001	62.5060804129206	72.8796887233464	251126.5873995	1.30880231751947	15.2747597963917	15.2747597963917	1.35938938365693	1.158371696	7.54849517646
GoMo-A063	0.0858254093513025	53.326125	54.4825034115166	76.0941530889897	278902.957818938	2.56640788484078	12.1747597963917	12.1747597963917	1.34799924534466	0.760863469500002	8.96277270945994
GoMo-B001	0.0570927357401913	38.5622500000003	52.413752154245	71.0916227234526	197849.544283	3.7219776183122			NA		
GoMo-B002	0.0570929093513027	42.5735000000002	63.8381064403313	74.1534944327706	162109.234072969	3.79787788449594	13.9747597963917	13.9747597963917	1.21503468623239	0.836429232500002	5.76793183045993
GoMo-B003	0.0611541593513018	81.4850000000005	67.5604401291577	83.5866073812518	243587.812676837	2.4925157797581	12.9747597963917	12.9747597963917	1.1305935291367	0.4969625245	8.79464824795994
GoMo-B005	0.0667566593513024	67.0262499999998	56.1285247851572	66.2440625665544	243535.669503398	3.32851025190739	16.4247597963917	16.4247597963917	1.16563850079421	0.7556131685	7.43391151895992
GoMo-B006	0.0604329093513024	67.6739481511851	63.6878221500013	76.1358757632506	282889.49436597	3.40311044248049	13.9247597963917	13.9247597963917	1.16719811112735	0.663716289999998	6.81960512645997
GoMo-B007	0.0602916593513024	67.8758749999998	58.9889115922643	70.766796673378	228458.614206866	2.22996045911032	15.3562724014337	15.3562724014337	1.36616423427053	0.663064833	6.48090852984228
GoMo-B008	0.0648729093513025	57.1962499999999	76.6046563824544	86.347347449668	243656.73203975	3.2885109278007	12.0747597963917	12.0747597963917	1.26040645933306	0.534554606000001	5.38506942695999
GoMo-B009	0.0583691593513024	74.6436249999999	66.7150086419744	82.9805476197224	212763.410501633	3.50883732529156	12.4747597963917	12.4747597963917	1.21376369265187	0.830114983999999	7.58685660945993
GoMo-B010	0.0758254093513023	55.7808182767363	64.5121280610469	75.470118712314	169012.267350829	3.31291350084353	14.1247597963917	14.1247597963917	1.15867757143858	0.724029129499999	9.13536935245995
GoMo-B011	0.0732091593513025	62.8376249999998	46.6741880293385	76.9465406922128	220534.520018476	2.65555202287792	12.6747597963917	12.6747597963917	1.27959586265189	0.597673508500001	10.3080792589599
GoMo-B014	0.0768616593513027	63.5207499999998	69.8932180221173	84.0866999386621	299703.735146663	3.40294543855152	12.8747597963917	12.8747597963917	1.23163300141643	1.0193356695	7.61858241995995
GoMo-B016	0.0646904093513024	53.9806249999996	67.9889355572024	79.352654515554	244593.794935203	3.63550198761167	12.5747597963917	12.5747597963917	1.2898724712985	1.0611091265	5.19710218945996
